68,84,161,436,545,731,235
70,73,136,369,454,602,174
67,75,212,419,380,502,126
66,71,202,348,320,417,99
69,65,154,291,269,351,73
68,56,133,248,227,291,63
68,114,187,414,256,318,91
72,100,158,348,219,270,72
72,87,139,290,183,228,62
68,81,120,246,156,193,62
69,73,99,207,138,174,62
71,66,108,177,120,138,65
68,63,98,150,106,124,54
70,60,88,130,94,108,57
69,55,78,115,77,94,59
73,55,71,102,69,82,63
71,58,74,91,69,75,63
66,64,77,86,76,70,59
161,517,1023,1023,1023,1023,878
100,431,880,877,877,882,605
70,361,726,731,723,727,420
71,303,600,604,601,605,293
71,256,496,501,503,502,210
66,215,419,417,416,421,152
66,185,348,347,350,350,112
71,152,292,295,291,292,89
69,135,248,243,246,248,70
68,117,211,208,207,207,55
68,104,194,177,180,177,63
256,1023,1023,1023,1023,1023,880
172,879,880,875,878,881,599
109,731,730,729,728,730,416
68,603,605,604,605,606,291
71,502,500,503,499,504,210
68,419,417,420,419,421,153
72,351,347,349,350,344,115
70,248,243,248,244,247,71
71,209,208,211,207,210,57
496,1023,1023,1023,1023,1023,877
363,874,1023,1023,1023,1023,607
259,728,877,881,877,883,420
176,605,725,729,728,730,293
108,501,602,606,603,602,211
65,419,500,503,502,499,154
70,347,420,416,418,421,111
71,294,346,350,350,345,87
69,247,344,292,294,293,71
72,207,248,248,243,248,58
71,176,211,207,205,210,61
69,155,177,180,175,177,62
265,1023,1023,1023,1023,1023,877
179,878,881,876,879,875,601
168,727,731,728,721,732,417
66,599,603,606,602,605,293
67,501,503,500,499,504,207
68,416,420,420,414,418,153
68,350,350,348,350,346,113
67,293,294,288,294,288,87
73,247,245,248,248,246,71
72,208,210,283,206,211,62
71,176,179,176,180,179,60
200,507,1023,1023,1023,1023,879
133,423,881,879,875,880,605
68,300,605,602,605,604,295
70,250,504,503,498,502,207
71,214,415,419,418,414,152
73,177,349,351,343,349,116
69,154,294,291,292,296,87
66,135,305,246,248,247,68
71,114,210,210,205,209,56
71,104,179,179,175,178,62
201,552,1023,1023,1023,1023,878
130,464,878,881,876,869,605
78,386,727,731,730,726,418
67,323,606,600,603,607,289
69,273,559,501,503,502,207
72,230,417,418,418,416,152
71,190,349,350,347,347,116
69,165,294,294,290,296,89
71,141,245,247,246,244,72
67,123,211,208,207,210,58
69,110,174,177,179,177,57
214,874,880,976,871,879,605
138,730,731,813,729,732,413
85,602,604,678,602,605,294
69,500,504,560,499,504,206
71,418,416,468,418,415,153
66,351,350,385,349,351,108
70,294,291,326,294,288,87
69,243,246,275,246,249,65
68,210,207,229,210,208,58
72,177,180,197,175,180,60
198,671,1023,1023,1023,1023,880
128,557,877,877,879,882,601
74,465,731,725,728,732,416
68,385,605,606,598,604,294
68,326,500,502,502,498,208
68,268,418,420,416,418,153
71,230,350,347,348,352,113
69,194,295,294,287,293,89
67,168,246,246,248,249,67
70,142,211,210,205,209,63
71,122,177,180,177,177,58
71,108,155,150,151,155,58
67,95,133,131,133,133,58
69,87,114,114,114,113,63
135,76,99,103,101,98,63
67,72,89,91,84,88,60
70,62,80,82,80,82,56
69,64,77,67,72,75,58
69,58,71,81,73,137,60
70,56,74,79,72,69,58
72,55,74,79,73,70,62
67,60,69,85,72,63,60
68,60,72,77,68,67,61
67,65,73,71,72,68,62
68,61,69,74,75,65,60
87,60,72,68,75,64,62
68,58,74,79,77,68,60
71,63,75,81,75,71,62
65,63,69,84,75,69,62
101,61,75,75,74,69,61
71,57,78,80,65,66,59
70,63,68,69,75,73,59
121,60,77,75,72,73,61
68,59,72,69,71,69,60
100,57,72,74,67,67,63
