69,114,233,729,727,1011,279
70,101,198,602,605,853,199
67,108,224,981,1023,1023,280
70,92,193,824,960,1023,256
72,80,163,685,801,878,186
66,82,172,569,1016,1023,268
71,72,148,468,858,881,189
78,114,216,528,1023,1023,373
68,102,187,437,875,1020,264
72,90,158,369,726,861,191
66,79,139,302,600,718,137
67,74,118,261,499,592,107
71,88,165,573,1023,1023,286
67,81,142,474,870,954,201
68,71,124,400,720,795,147
67,66,108,334,597,659,111
71,103,207,648,1023,1023,253
74,93,178,757,1023,979,232
68,87,165,633,867,820,166
72,75,140,523,747,678,126
67,107,219,836,1023,1023,247
69,93,188,697,873,880,189
73,86,160,578,889,1010,230
71,75,137,481,1006,855,162
69,98,190,461,1023,1023,253
68,97,160,384,870,879,183
66,80,141,341,722,731,133
67,74,122,266,598,607,167
72,82,157,562,1023,1008,218
68,80,137,464,873,860,213
68,71,117,389,725,712,153
68,66,106,327,599,588,116
71,99,183,616,1023,1023,205
71,89,169,741,1023,1023,224
68,82,153,609,868,873,160
71,74,127,509,722,721,120
65,112,225,1008,1023,1023,266
70,115,219,849,1023,1023,243
71,88,161,585,845,1003,232
65,81,168,482,1011,941,163
75,106,193,507,1023,1023,275
70,88,170,422,1009,987,197
71,78,144,352,850,828,142
66,73,127,298,707,687,107
68,70,105,249,586,567,86
65,89,156,583,1023,1021,211
72,79,134,483,891,1022,220
72,73,118,400,738,867,161
71,69,99,338,611,717,122
71,58,93,285,504,593,94
67,112,200,738,1023,1023,227
69,98,168,642,870,877,175
67,85,148,533,719,731,130
70,119,222,1007,1023,870,228
64,118,228,844,1023,1023,236
70,106,194,702,878,989,195
70,93,162,583,729,1010,228
69,81,153,487,1007,1007,238
71,151,131,406,849,845,174
66,105,182,475,1023,1023,243
69,166,156,399,869,878,177
67,82,138,333,720,732,129
66,74,115,278,599,605,96
72,89,156,579,1023,994,209
67,84,177,481,939,1006,203
66,77,134,401,786,846,149
64,84,176,556,696,696,112
77,110,210,895,770,580,96
75,106,224,756,1023,1023,221
62,92,194,728,864,881,157
65,86,209,663,714,731,116
68,111,233,1007,1023,867,200
64,103,195,770,1023,874,182
72,102,181,637,1023,821,159
68,87,159,530,915,994,228
70,102,214,679,1023,1023,260
67,99,197,561,1023,1023,247
66,96,195,618,1023,921,179
59,91,208,597,1023,974,215
67,89,198,494,1023,858,163
61,88,185,497,1021,1023,217
75,89,157,417,1009,1021,227
64,80,144,373,853,861,165
66,80,140,327,988,805,173
72,79,122,296,824,667,129
81,126,230,769,1023,1023,239
71,111,196,759,946,978,197
70,99,171,624,828,992,198
74,115,231,981,1018,830,178
74,115,232,1010,1023,1023,248
73,101,202,850,1021,1023,211
71,90,169,707,864,865,154
70,88,181,586,1023,1023,226
71,99,180,486,1023,919,184
65,95,190,507,1023,1023,235
69,88,161,423,968,880,173
68,105,186,451,1023,1023,232
64,92,170,370,1023,1016,219
75,101,191,380,1023,1023,208
65,97,192,578,1008,1023,218
66,88,165,478,848,878,155
68,77,141,402,701,985,192
67,72,121,335,631,820,141
62,126,199,637,1023,1023,257
64,111,193,750,1023,934,205
64,96,167,619,874,1021,219
61,88,142,515,774,985,203
77,114,248,1015,1023,1023,274
68,109,217,915,1023,1023,283
72,96,184,758,1023,1023,289
71,87,158,631,1015,1023,311
68,79,140,520,857,881,216
66,116,209,537,1023,1023,317
69,105,178,444,1023,971,224
68,91,177,375,1023,1000,227
66,89,175,366,1017,991,202
64,88,174,355,979,905,168
64,95,183,551,1004,1023,255
70,82,159,462,842,878,186
72,77,133,386,700,1020,207
67,68,120,321,658,865,151
72,119,225,687,1023,1023,282
68,104,196,791,1023,1021,232
70,91,166,670,868,864,170
67,83,145,553,762,1023,226
70,117,259,1017,1023,1023,279
73,114,233,974,1023,1023,316
71,105,197,812,903,927,223
64,90,171,674,1016,1023,263
65,96,189,556,1023,939,184
64,102,199,517,1023,1023,253
71,88,169,434,1022,1023,236
80,87,141,361,984,875,169
66,97,208,463,1023,1023,224
66,92,191,386,1023,1023,207
71,102,190,586,1023,1023,255
67,91,157,485,901,970,226
67,82,135,404,748,1023,213
69,72,128,341,680,868,158
70,118,212,678,1023,1023,274
59,102,184,776,1023,1023,258
68,84,139,556,796,1023,230
70,120,241,1017,1023,990,204
73,115,232,874,1023,1023,272
74,98,198,728,1023,1023,294
65,91,170,597,872,1023,313
71,74,124,420,828,851,164
61,117,217,503,1023,1023,331
70,100,188,420,1023,988,237
67,88,164,352,1016,1007,217
63,87,189,375,990,916,170
68,90,178,491,995,1023,251
67,74,152,411,950,1001,243
71,74,131,344,796,1007,208
70,69,121,288,705,952,189
69,65,108,241,584,798,137
78,122,216,772,1023,1023,262
71,101,187,700,963,878,188
65,93,163,580,747,1001,214
76,121,237,1017,1023,849,183
73,115,224,962,1023,1023,281
66,100,194,801,992,1017,200
67,87,172,550,1023,1007,227
64,99,192,458,1023,909,182
67,96,173,495,1023,1023,239
68,87,146,416,1016,874,174
74,98,188,452,1023,1023,247
68,89,166,390,1023,1022,189
71,97,188,597,1023,1023,248
67,91,162,495,1005,1023,209
71,75,137,416,843,880,195
68,81,127,343,701,986,208
70,70,119,292,579,828,156
51,108,192,800,1023,1023,238
76,99,177,667,920,980,170
68,89,151,558,965,1006,247
63,122,236,993,1023,877,177
71,115,243,1013,1023,1023,251
73,95,193,710,1023,1023,262
76,84,167,589,982,1018,264
68,80,142,488,826,860,187
70,102,185,534,1023,1023,319
68,98,173,438,1021,889,226
65,103,185,472,1023,967,216
60,91,203,417,1023,850,171
74,89,189,551,1023,1023,199
65,83,162,456,995,960,220
68,83,139,416,834,799,163
72,82,142,480,938,684,171
63,79,143,499,1009,572,128
70,112,211,666,1023,1023,245
64,103,184,702,1021,880,178
72,93,162,579,1023,728,182
79,123,242,1022,1023,808,166
72,102,213,854,1023,1023,210
70,92,184,704,1023,880,163
70,89,165,582,1023,1023,224
73,95,176,485,1023,929,200
64,101,178,468,1023,1023,262
65,103,174,524,1023,996,183
66,107,197,583,1023,1023,219
71,139,197,592,1023,985,191
69,97,168,576,1008,1023,229
68,90,166,633,1010,871,180
63,95,170,523,1023,967,228
74,169,230,629,1023,1022,220
66,98,201,848,1015,919,213
75,94,197,703,992,969,192
71,91,189,629,1023,811,154
