72,76,145,431,995,770,142
67,86,148,356,1004,894,186
66,76,157,466,914,745,152
71,113,179,388,870,616,133
67,99,159,368,770,754,154
67,90,137,315,641,621,118
70,95,203,483,879,833,166
67,83,173,405,799,1014,183
66,89,160,348,706,858,178
64,91,191,530,915,1017,230
73,80,163,440,760,857,168
70,108,214,839,916,1007,203
70,96,185,690,762,1017,200
62,88,159,573,706,870,143
71,83,148,477,990,1023,302
67,80,128,418,830,880,214
71,82,175,576,1022,968,216
72,92,190,726,941,1016,177
70,87,166,596,973,1023,282
64,80,141,498,816,878,161
64,77,169,415,694,975,195
63,70,145,349,572,816,147
78,130,272,1023,977,1005,215
70,128,265,1023,1023,1023,240
67,113,227,959,1016,1023,185
59,98,218,952,861,1023,206
66,92,185,798,713,878,156
64,107,256,661,990,1023,372
77,89,194,484,1017,877,190
69,99,186,560,1023,1020,183
70,88,161,467,869,1023,214
70,101,233,624,972,980,166
67,87,167,434,947,1023,347
66,79,145,520,1012,1023,245
69,92,141,431,859,878,174
76,90,182,723,957,1023,195
69,79,156,598,798,1004,194
57,86,172,509,717,988,161
68,97,187,532,1011,1023,281
69,86,160,444,850,1023,234
58,91,193,798,925,1023,219
51,111,240,1023,1021,869,159
52,106,215,1020,893,952,175
67,96,199,954,834,1012,191
56,91,196,657,804,1023,187
71,95,189,735,881,1008,240
65,82,180,606,859,1000,206
68,92,197,773,989,1016,195
76,82,173,642,941,991,177
69,87,162,478,970,1023,290
66,79,140,556,811,1014,206
62,127,199,607,1018,986,182
70,112,166,508,858,828,136
67,88,127,492,702,787,157
67,90,198,719,933,888,156
58,81,170,597,884,1023,259
69,83,145,512,734,873,188
71,95,172,664,961,983,150
70,83,149,576,801,827,114
65,98,198,862,956,997,176
68,89,166,719,800,987,166
65,81,154,722,661,830,146
71,86,165,605,932,1023,293
74,103,174,592,987,1023,210
70,96,190,832,910,1008,190
63,99,184,689,1015,967,167
69,89,178,791,1023,1023,183
62,88,177,736,1023,1023,234
64,87,182,839,869,881,165
68,104,180,697,1011,1023,239
66,93,155,579,852,961,176
75,76,146,518,705,831,137
72,92,229,781,994,977,191
67,89,196,645,846,871,145
66,78,164,536,896,1023,212
73,91,167,454,1013,1023,295
65,83,154,436,1013,1002,208
73,101,177,566,1016,1023,355
54,96,203,669,860,969,248
73,89,176,592,767,896,195
81,97,165,621,1012,989,170
65,109,195,678,1023,997,192
72,92,179,564,963,1023,223
57,115,230,990,805,881,179
77,122,288,1018,942,945,168
52,122,242,975,836,786,165
65,110,217,817,815,1006,168
63,100,212,765,806,979,181
66,104,229,751,668,820,151
77,100,208,705,960,1023,331
76,102,200,677,797,880,235
67,97,187,619,1011,992,168
59,103,187,609,1022,829,174
69,89,162,564,867,990,154
64,95,183,529,1022,1023,237
66,88,158,437,863,1023,225
64,78,158,368,816,1023,233
66,83,137,353,914,1023,243
69,75,134,354,759,1018,210
69,101,204,790,972,1023,186
65,90,176,652,818,944,141
65,85,176,543,1010,1023,201
71,94,152,615,990,1023,235
69,86,135,515,832,1012,170
71,97,172,527,969,907,174
70,87,150,441,807,756,131
68,82,138,429,780,873,175
